iteraties,2HollandFalse,3HollandFalse,4HollandFalse,5HollandFalse,6HollandFalse,7HollandFalse,2HollandTrue,3HollandTrue,4HollandTrue,5HollandTrue,6HollandTrue,7HollandTrue,10NederlandFalse,11NederlandFalse,12NederlandFalse,13NederlandFalse,14NederlandFalse,15NederlandFalse,16NederlandFalse,17NederlandFalse,18NederlandFalse,19NederlandFalse,20NederlandFalse,10NederlandTrue,11NederlandTrue,12NederlandTrue,13NederlandTrue,14NederlandTrue,15NederlandTrue,16NederlandTrue,17NederlandTrue,18NederlandTrue,19NederlandTrue,20NederlandTrue
1,6959.9826,7939.9721,8919.956,9399.9446,9379.9374,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7536.48896949,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
2,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7536.49026949,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
3,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7536.48346949,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
4,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7367.00354407,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
5,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7705.97619492,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
6,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7536.48466949,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
7,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7366.99244407,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
8,6959.9826,7939.9721,8919.956,9399.9446,9379.9381,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7366.98484407,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
9,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7536.48016949,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
10,6959.9826,7939.9721,8919.956,9399.9446,9379.9389,9359.9324,6745.69258571,7439.9673,8134.24171429,8471.37317143,8451.36747143,8431.35927143,7257.47241864,7406.97964407,7556.45606949,7536.47926949,7685.94089492,7665.93299492,7815.39952034,7964.85814576,8114.34397119,8094.36827119,8243.81979661,6316.71543258,6521.43413371,6501.41333371,6593.76828427,6798.45768539,6890.82343596,6983.15348652,6963.16688652,6943.14838652,7035.49943708,7127.83268764
