iteraties,SAShort2HollandFalse,SAShort3HollandFalse,SAShort4HollandFalse,test
1,6959.9826,7939.9721,8419.9613,7496.47546949
2,6959.9826,7939.9721,8919.956,7496.47736949
3,6959.9826,7939.9721,8919.956,7496.46096949
4,6959.9826,7939.9721,8919.956,7496.45886949
5,6959.9826,7939.9721,8919.9559,7665.95919492
6,6959.9825,7939.9721,8919.956,7665.94959492
7,6959.9826,7939.9721,8919.9559,7665.95819492
8,6959.9826,7939.9721,8919.956,7665.95129492
9,6959.9826,7939.9721,8919.956,7496.46426949
10,6959.9826,7939.9721,8919.956,7496.47986949
11,6959.9826,7939.9721,8919.956,7665.96599492
12,6959.9826,7939.9721,8419.9613,7326.98264407
13,6959.9826,7939.9721,8919.956,7326.99334407
14,6959.9826,7939.9721,8919.956,7496.47056949
15,6959.9826,7939.9721,8919.956,7496.46346949
16,6959.9826,7939.9721,8919.9559,7496.47076949
17,6959.9826,7939.9721,8919.956,7496.45616949
18,6959.9826,7939.9721,8919.956,7496.45496949
19,6959.9826,7939.9721,8919.956,7326.99104407
20,6959.9826,7939.9721,8419.9613,7665.96419492
21,6959.9826,7939.9721,8919.956,7665.94859492
22,6959.9826,7939.9721,8919.9559,0.0
23,6959.9826,7939.9721,8919.956,7496.46776949
24,6959.9826,7939.9721,8919.956,7496.46206949
25,6959.9826,7939.9721,8919.956,7326.97844407
26,6959.9826,7939.9721,8919.956,7157.48821864
27,6959.9826,7939.9721,8919.9559,7665.96299492
28,6959.9826,7939.9721,8919.956,7665.95279492
29,6959.9826,7939.9721,8919.9559,7496.46276949
30,6959.9826,7939.9721,8919.956,7496.47346949
31,6959.9826,7939.9721,8919.9559,7326.97954407
32,6959.9826,7939.9721,8919.956,7665.95749492
33,6959.9826,7939.9721,8919.9559,7496.48106949
34,6959.9826,7939.9721,8919.956,7496.48646949
35,6959.9826,7939.9721,8919.956,7496.47456949
36,6959.9826,7939.9721,8919.956,7326.97094407
37,6959.9826,7939.9721,8919.956,7496.46966949
38,6959.9826,7939.9721,8919.956,7496.46366949
39,6959.9826,7939.9721,8919.9559,7496.45136949
40,6959.9826,7939.9721,8919.956,7665.96079492
41,6959.9826,7939.9721,8919.9559,7326.98804407
42,6959.9826,7939.9721,8919.956,7326.96664407
43,6959.9826,7939.9721,8919.956,7326.97614407
44,6959.9826,7939.9721,8919.956,7835.44602034
45,6959.9826,7939.9721,8919.956,7665.95239492
46,6959.9826,7939.9721,8919.956,7496.45146949
47,6959.9826,7939.9721,8919.956,7326.98154407
48,6959.9826,7939.9721,8919.9559,7496.47456949
49,6959.9826,7939.9721,8919.9559,7496.47566949
50,6959.9826,7939.9721,8419.9613,7496.48096949
51,6959.9826,7939.9721,8919.956,7496.45716949
52,6959.9826,7939.9721,8919.956,7665.96299492
53,6959.9826,7939.9721,8919.9559,7665.95549492
54,6959.9826,7939.9721,8919.956,7665.95499492
55,6959.9826,7939.9721,8919.956,7835.44302034
56,6959.9826,7939.9721,8919.956,7835.43992034
57,6959.9826,7939.9721,8919.9559,7496.46516949
58,6959.9826,7939.9721,8419.9613,7326.97974407
59,6959.9826,7939.9721,8919.956,7496.47266949
60,6959.9826,7939.9721,8919.956,7496.45616949
61,6959.9826,7939.9721,8919.956,7326.98764407
62,6959.9826,7939.9721,8919.956,7496.46196949
63,6959.9826,7939.9721,8919.956,7665.96049492
64,6959.9826,7939.9721,8419.9612,7326.97924407
65,6959.9826,7939.9721,8919.956,7665.96239492
66,6959.9826,7939.9721,8919.956,7326.97704407
67,6959.9826,7939.9721,8919.9559,7496.47306949
68,6959.9826,7939.9721,8919.956,7326.99244407
69,6959.9826,7939.9721,8419.9613,7665.94969492
70,6959.9826,7939.9721,8919.956,7496.46906949
71,6959.9826,7939.9721,8919.956,7326.98524407
72,6959.9826,7939.9721,8919.956,7326.97754407
73,6959.9826,7939.9721,8919.9559,7496.46386949
74,6959.9826,7939.9721,8919.956,7835.44372034
75,6959.9826,7939.9721,8919.956,7496.46346949
76,6959.9826,7939.9721,8919.9559,7496.47246949
77,6959.9826,7939.9721,8919.956,7665.95759492
78,6959.9826,7939.9721,8919.9559,7496.46146949
79,6959.9826,7939.9721,8919.956,7327.00024407
80,6959.9826,7939.9721,8919.9559,7326.98524407
81,6959.9826,7939.9721,8919.956,7157.49861864
82,6959.9826,7939.9721,8919.9559,7496.45626949
83,6959.9826,7939.9721,8919.956,7496.47026949
84,6959.9826,7939.9721,8419.9613,7496.46876949
85,6959.9826,7939.9721,8919.956,7496.47996949
86,6959.9826,7939.9721,8919.956,7326.98184407
87,6959.9826,7939.9721,8919.956,7496.47516949
88,6959.9826,7939.9721,8919.956,7665.94729492
89,6959.9826,7939.9721,8919.956,7496.45756949
90,6959.9826,7939.9721,8919.9559,7835.46432034
91,6959.9826,7939.9721,8919.9559,7496.47376949
92,6959.9826,7939.9721,8919.9559,7496.45426949
93,6959.9826,7939.972,8919.956,7496.47936949
94,6959.9826,7939.9721,8919.956,7326.98494407
95,6959.9826,7939.9721,8919.956,7496.47306949
96,6959.9826,7939.9721,8919.956,7665.96689492
97,6959.9826,7939.9721,8919.9559,7496.47916949
98,6959.9826,7939.9721,8919.956,7326.98424407
99,6959.9826,7939.9721,8919.956,7665.95699492
100,6959.9826,7939.9721,8919.956,7496.47736949
